         dataset	          class_	      n_in_class	     getfp_label	similarity_label	       top-1 acc	       top-3 acc	       top-5 acc	      top-10 acc	      top-20 acc	      top-50 acc
             val	             all	            5001	     Morgan2Feat	        TverskyB	  0.371125774845	  0.544891021796	  0.629474105179	   0.73825234953	  0.824035192961	  0.863027394521
             val	              10	              23	     Morgan3Feat	        Tanimoto	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan3Feat	        Tanimoto	  0.344262295082	  0.568306010929	  0.677595628415	  0.765027322404	  0.868852459016	  0.912568306011
             val	               8	              81	     Morgan3Feat	        Tanimoto	  0.777777777778	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan3Feat	        Tanimoto	  0.581344902386	   0.70715835141	  0.809110629067	  0.893709327549	  0.932754880694	  0.939262472885
             val	               6	             824	     Morgan3Feat	        Tanimoto	  0.481796116505	  0.783980582524	  0.893203883495	  0.942961165049	  0.953883495146	  0.955097087379
             val	               5	              67	     Morgan3Feat	        Tanimoto	  0.925373134328	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               4	              91	     Morgan3Feat	        Tanimoto	  0.505494505495	  0.659340659341	   0.67032967033	   0.67032967033	   0.67032967033	   0.67032967033
             val	               3	             566	     Morgan3Feat	        Tanimoto	  0.439929328622	  0.583038869258	  0.648409893993	  0.736749116608	  0.812720848057	  0.856890459364
             val	               2	            1190	     Morgan3Feat	        Tanimoto	  0.620168067227	  0.850420168067	  0.915966386555	  0.947058823529	  0.954621848739	  0.954621848739
             val	               1	            1515	     Morgan3Feat	        Tanimoto	  0.491749174917	  0.685148514851	  0.769636963696	  0.854785478548	  0.903630363036	  0.911551155116
             val	             all	            5001	     Morgan3Feat	        Tanimoto	  0.378924215157	  0.552689462108	  0.637072585483	  0.741051789642	  0.819636072785	  0.853829234153
             val	              10	              23	     Morgan3Feat	            Dice	             1.0	             1.0	             1.0	             1.0	             1.0	             1.0
             val	               9	             183	     Morgan3Feat	            Dice	  0.344262295082	  0.573770491803	  0.677595628415	  0.765027322404	  0.868852459016	  0.912568306011
             val	               8	              81	     Morgan3Feat	            Dice	  0.777777777778	  0.950617283951	  0.975308641975	  0.975308641975	  0.975308641975	  0.975308641975
             val	               7	             461	     Morgan3Feat	            Dice	  0.579175704989	  0.702819956616	  0.809110629067	  0.893709327549	  0.932754880694	  0.939262472885
             val	               6	             824	     Morgan3Feat	            Dice	  0.486650485437	  0.787621359223	  0.893203883495	  0.942961165049	  0.953883495146	  0.955097087379
             val	               5	              67	     Morgan3Feat	            Dice	  0.925373134328	             1.0	             1.0	             1.0	             1.0	             1.0
